Sentence text,Aspect text,Aspect position,Polarity,Position
ambiance relaxed and stylish,ambiance,"[0, 1]",positive,40
don t judge this place prima facie you have to try it to believe it a home away from home for the literate heart,place,"[4, 5]",positive,41
the food is decent,food,"[1, 2]",neutral,42
however it s the service that leaves a bad taste in my mouth,service,"[4, 5]",negative,43
i happen to have a policy that goes along with a little bit of self respect which includes not letting a waiter intimidate me i e make me feel bad asking for trivialities like water or the check,waiter,"[21, 22]",negative,44
this place has got to be the best japanese restaurant in the new york area,place,"[1, 2]",positive,45
food is great,food,"[0, 1]",positive,46
service is top notch,service,"[0, 1]",positive,47
i tend to judge a sushi restaurant by its sea urchin which was heavenly at sushi rose,sea urchin,"[9, 11]",positive,48
the sushi seemed pretty fresh and was adequately proportioned,sushi,"[1, 2]",positive,49
the sushi seemed pretty fresh and was adequately proportioned,sushi,"[1, 2]",positive,50
the rice to fish ration was also good they didn t try to overpack the rice,rice to fish ration,"[1, 5]",positive,51
we took advanatage of the half price sushi deal on saturday so it was well worth it,half price sushi deal,"[5, 9]",positive,52
in the evening this place attracted a well dressed with it ny crowd,crowd,"[12, 13]",positive,53
the food was well prepared and the service impecable,food,"[1, 2]",positive,54
the food was well prepared and the service impecable,service,"[7, 8]",positive,55
the prix fixe menu is worth every penny and you get more than enough both in quantity and quality,prix fixe menu,"[1, 4]",positive,56
the prix fixe menu is worth every penny and you get more than enough both in quantity and quality,prix fixe menu,"[1, 4]",positive,57
the prix fixe menu is worth every penny and you get more than enough both in quantity and quality,prix fixe menu,"[1, 4]",positive,58
6 and there is much tasty food all of it fresh and continually refilled,food,"[6, 7]",positive,59
6 and there is much tasty food all of it fresh and continually refilled,food,"[6, 7]",positive,60
6 and there is much tasty food all of it fresh and continually refilled,food,"[6, 7]",positive,61
i am not a vegetarian but almost all the dishes were great,dishes,"[9, 10]",positive,62
the food here is rather good but only if you like to wait for it,food,"[1, 2]",positive,63
i like the somosas chai and the chole but the dhosas and dhal were kinda dissapointing,somosas,"[3, 4]",positive,64
i like the somosas chai and the chole but the dhosas and dhal were kinda dissapointing,chai,"[4, 5]",positive,65
i like the somosas chai and the chole but the dhosas and dhal were kinda dissapointing,chole,"[7, 8]",positive,66
i like the somosas chai and the chole but the dhosas and dhal were kinda dissapointing,dhosas,"[10, 11]",negative,67
i like the somosas chai and the chole but the dhosas and dhal were kinda dissapointing,dhal,"[12, 13]",negative,68
the service varys from day to day sometimes they re very nice and sometimes not,service,"[1, 2]",negative,69
the kitchen however is almost always slow,kitchen,"[1, 2]",negative,70
also specify if you like your food spicy its rather bland if you don t,food,"[6, 7]",negative,71
the ambience is pretty and nice for conversation so a casual lunch here would probably be best,ambience,"[1, 2]",positive,72
if you ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer,view,"[18, 19]",positive,73
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,service,"[4, 5]",positive,74
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,food,"[7, 8]",positive,75
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening,food,"[7, 8]",positive,76
the lava cake dessert was incredible and i recommend it,lava cake dessert,"[1, 4]",positive,77
once you step into cosette you re miraculously in a small off the beaten path parisian bistro,cosette,"[4, 5]",positive,78
this tiny restaurant is as cozy as it gets with that certain parisian flair,restaurant,"[2, 3]",positive,79
the food was average to above average the french onion soup filling yet not overly impressive and the desserts not brilliant in any way,food,"[1, 2]",positive,80
the food was average to above average the french onion soup filling yet not overly impressive and the desserts not brilliant in any way,french onion soup,"[8, 11]",negative,81
the food was average to above average the french onion soup filling yet not overly impressive and the desserts not brilliant in any way,french onion soup,"[8, 11]",positive,82
the food was average to above average the french onion soup filling yet not overly impressive and the desserts not brilliant in any way,desserts,"[18, 19]",negative,83
however go for the ambience and consider the food just a companion for a trip across the world,ambience,"[4, 5]",positive,84
however go for the ambience and consider the food just a companion for a trip across the world,food,"[8, 9]",neutral,85
the pizza was delivered cold and the cheese wasn t even fully melted,pizza,"[1, 2]",negative,86
the pizza was delivered cold and the cheese wasn t even fully melted,cheese,"[7, 8]",negative,87
the pizza is overpriced and soggy,pizza,"[1, 2]",negative,88
the pizza is overpriced and soggy,pizza,"[1, 2]",negative,89
yes they use fancy ingredients but even fancy ingredients don t make for good pizza unless someone knows how to get the crust right,ingredients,"[4, 5]",positive,90
yes they use fancy ingredients but even fancy ingredients don t make for good pizza unless someone knows how to get the crust right,pizza,"[14, 15]",negative,91
yes they use fancy ingredients but even fancy ingredients don t make for good pizza unless someone knows how to get the crust right,crust,"[22, 23]",negative,92
i think i ve had some the best meals of my life at minnow,meals,"[8, 9]",positive,93
the seafood is amazing there s a good wine list and the ever changing menu always offers some great surprises,seafood,"[1, 2]",positive,94
the seafood is amazing there s a good wine list and the ever changing menu always offers some great surprises,wine list,"[8, 10]",positive,95
the seafood is amazing there s a good wine list and the ever changing menu always offers some great surprises,menu,"[14, 15]",positive,96
the combination of super fresh ingredients in the dishes are unusual but really delicious,ingredients,"[5, 6]",positive,97
best pastrami i ever had and great portion without being ridiculous,pastrami,"[1, 2]",positive,98
best pastrami i ever had and great portion without being ridiculous,portion,"[7, 8]",positive,99
my wife had the fried shrimp which are huge and loved it,fried shrimp,"[4, 6]",positive,100
my wife had the fried shrimp which are huge and loved it,fried shrimp,"[4, 6]",positive,101
as a japanese native i ve lived in the tristate area for over 8 years but i was just so amazed at this place,place,"[23, 24]",positive,102
this place is the most japanese it can ever get,place,"[1, 2]",positive,103
the signs the specials menus food and even all the waitstaff are all totally japanese,signs,"[1, 2]",positive,104
the signs the specials menus food and even all the waitstaff are all totally japanese,specials menus,"[3, 5]",positive,105
the signs the specials menus food and even all the waitstaff are all totally japanese,food,"[5, 6]",positive,106
the signs the specials menus food and even all the waitstaff are all totally japanese,waitstaff,"[10, 11]",positive,107
this place is worth an one hour drive,place,"[1, 2]",positive,108
leon is an east village gem casual but hip with well prepared basic french bistro fare good specials a warm and lively atmosphere,leon,"[0, 1]",positive,109
leon is an east village gem casual but hip with well prepared basic french bistro fare good specials a warm and lively atmosphere,leon,"[0, 1]",positive,110
leon is an east village gem casual but hip with well prepared basic french bistro fare good specials a warm and lively atmosphere,specials,"[17, 18]",positive,111
leon is an east village gem casual but hip with well prepared basic french bistro fare good specials a warm and lively atmosphere,atmosphere,"[22, 23]",positive,112
leon is an east village gem casual but hip with well prepared basic french bistro fare good specials a warm and lively atmosphere,french bistro fare,"[13, 16]",positive,113
my wife and i always enjoy the young not always well trained but nevertheless friendly staff all of whom have a story,staff,"[15, 16]",positive,114
decent wine at reasonable prices,wine,"[1, 2]",neutral,115
decent wine at reasonable prices,wine,"[1, 2]",positive,116
everytime i decide to try another place on the ues i get angry that i didn t just go to zucchero pomodori,zucchero pomodori,"[20, 22]",positive,117
this is by far my favorite place in the neighborhood,place,"[6, 7]",positive,118
the service is excellent the decor is great and the food is delicious and comes in large portions,service,"[1, 2]",positive,119
the service is excellent the decor is great and the food is delicious and comes in large portions,decor,"[5, 6]",positive,120
the service is excellent the decor is great and the food is delicious and comes in large portions,food,"[10, 11]",positive,121
the service is excellent the decor is great and the food is delicious and comes in large portions,portions,"[17, 18]",positive,122
i m partial to the gnocchi,gnocchi,"[5, 6]",positive,123
this place is incredibly tiny,place,"[1, 2]",negative,124
the hostess is rude to the point of being offensive,hostess,"[1, 2]",negative,125
the food was bland oily,food,"[1, 2]",negative,126
we have been to this place many times and always have great food wine and service,food,"[12, 13]",positive,127
we have been to this place many times and always have great food wine and service,wine,"[13, 14]",positive,128
we have been to this place many times and always have great food wine and service,service,"[15, 16]",positive,129
we were worried we would have trouble getting in but somehow managed to have a short wait,wait,"[16, 17]",positive,130
as always we had a great glass of wine while we waited,glass of wine,"[6, 9]",positive,131
when we sat we got great and fast service,service,"[8, 9]",positive,132
the people that work there are always so friendly you forget you are in new york sometimes,people,"[1, 2]",positive,133
make sure you try this place as often as you can,place,"[5, 6]",positive,134
this is a fun restaurant to go to,restaurant,"[4, 5]",positive,135
the pizza is yummy and i like the atmoshpere,pizza,"[1, 2]",positive,136
the pizza is yummy and i like the atmoshpere,atmoshpere,"[8, 9]",positive,137
but the pizza is way to expensive,pizza,"[2, 3]",negative,138
i went there for lunch and it was not as good as i expected from the reviews i read,lunch,"[4, 5]",negative,139
sauce was watery and the food didn t have much flavor,sauce,"[0, 1]",negative,140
sauce was watery and the food didn t have much flavor,food,"[5, 6]",negative,141
this place is great,place,"[1, 2]",positive,142
the waitress was very patient with us and the food is phenomenal,waitress,"[1, 2]",positive,143
the waitress was very patient with us and the food is phenomenal,food,"[9, 10]",positive,144
service was prompt friendly and great,service,"[0, 1]",positive,145
great pizza and fantastic service,pizza,"[1, 2]",positive,146
great pizza and fantastic service,service,"[4, 5]",positive,147
there was a small wait but shorter than i expected,wait,"[4, 5]",positive,148
this is the best sushi in new york city hands down,sushi,"[4, 5]",positive,149
the place is small and cramped but the food is fantastic,place,"[1, 2]",negative,150
the place is small and cramped but the food is fantastic,food,"[8, 9]",positive,151
get the tuna of gari,tuna of gari,"[2, 5]",positive,152
planet thailand has always been a hit with me i go there usually for the sushi which is great the thai food is excellent too,sushi,"[15, 16]",positive,153
planet thailand has always been a hit with me i go there usually for the sushi which is great the thai food is excellent too,thai food,"[20, 22]",positive,154
planet thailand has always been a hit with me i go there usually for the sushi which is great the thai food is excellent too,planet thailand,"[0, 2]",positive,155
with the great variety on the menu i eat here often and never get bored,menu,"[6, 7]",positive,156
the atmosphere isn t the greatest but i suppose that s how they keep the prices down,atmosphere,"[1, 2]",negative,157
it s all about the food,food,"[5, 6]",positive,158
first it took us a long time to find the place,place,"[10, 11]",negative,159
but when we looked at the menu there weren t a lot of choices most of them were dumplings in the appetizer section,menu,"[6, 7]",negative,160
those rolls were big but not good and sashimi wasn t fresh,rolls,"[1, 2]",neutral,161
those rolls were big but not good and sashimi wasn t fresh,rolls,"[1, 2]",negative,162
those rolls were big but not good and sashimi wasn t fresh,sashimi,"[8, 9]",negative,163
try the crunchy tuna it is to die for,crunchy tuna,"[2, 4]",positive,164
first went here to enjoy their garden terrace,garden terrace,"[6, 8]",positive,165
the food was amazing and the service was prompt and helpful but not over bearing or rushed,food,"[1, 2]",positive,166
the food was amazing and the service was prompt and helpful but not over bearing or rushed,service,"[6, 7]",positive,167
the steak tartare is a great bet they fix it for you at the table,steak tartare,"[1, 3]",positive,168
admittedly some nights inside the restaurant were rather warm but the open kitchen is part of the charm,open kitchen,"[11, 13]",positive,169
admittedly some nights inside the restaurant were rather warm but the open kitchen is part of the charm,restaurant,"[5, 6]",negative,170
great wine selection gigondas is worth the price and the house champagne is a great value,wine selection,"[1, 3]",positive,171
great wine selection gigondas is worth the price and the house champagne is a great value,gigondas,"[3, 4]",positive,172
great wine selection gigondas is worth the price and the house champagne is a great value,house champagne,"[10, 12]",positive,173
it may be a bit packed on weekends but the vibe is good and it is the best french food you will find in the area,vibe,"[10, 11]",positive,174
it may be a bit packed on weekends but the vibe is good and it is the best french food you will find in the area,french food,"[18, 20]",positive,175
have recommended the place to friends always gets good response,place,"[3, 4]",positive,176
pizza the only pizza in nyc that should not have additional toppings the crust tastes like the best freshly baked bread,crust,"[13, 14]",positive,177
pizza the only pizza in nyc that should not have additional toppings the crust tastes like the best freshly baked bread,pizza,"[0, 1]",positive,178
i take all my nyc guests to vt s,vt s,"[7, 9]",positive,179
not sure where the previous reviewer lonk dined but saul is in a great neighborhood and has great food,neighborhood,"[14, 15]",positive,180
not sure where the previous reviewer lonk dined but saul is in a great neighborhood and has great food,food,"[18, 19]",positive,181
i d highly recommend it for a special occasion it provides and intimate setting and nice service,setting,"[13, 14]",positive,182
i d highly recommend it for a special occasion it provides and intimate setting and nice service,service,"[16, 17]",positive,183
i m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much and we re repeat customers,mizu,"[26, 27]",positive,184
make sure you have the spicy scallop roll,spicy scallop roll,"[5, 8]",positive,185
moules were excellent lobster ravioli was very salty,moules,"[0, 1]",positive,186
moules were excellent lobster ravioli was very salty,lobster ravioli,"[3, 5]",negative,187
took my mom for mother s day and the maitre d was pretty rude,maitre d,"[9, 11]",negative,188
tiny dessert was 8 00 just plain overpriced for what it is,dessert,"[1, 2]",negative,189
tiny dessert was 8 00 just plain overpriced for what it is,dessert,"[1, 2]",negative,190
tiny dessert was 8 00 just plain overpriced for what it is,dessert,"[1, 2]",negative,191
the drinks are always welll made and wine selection is fairly priced,drinks,"[1, 2]",positive,192
the drinks are always welll made and wine selection is fairly priced,wine selection,"[7, 9]",positive,193
try their chef s specials they are to die for,chef s specials,"[2, 5]",positive,194
service is not exactly five star but thats not really a big deal,service,"[0, 1]",neutral,195
downstairs lounge is always a good attraction,downstairs lounge,"[0, 2]",positive,196
raga s is a romantic cozy restaurant,raga s,"[0, 2]",positive,197
the exotic food is beautifully presented and is a delight in delicious combinations,exotic food,"[1, 3]",positive,198
the exotic food is beautifully presented and is a delight in delicious combinations,exotic food,"[1, 3]",positive,199
the staff is incredibly helpful and attentive,staff,"[1, 2]",positive,200
the bar is very well stocked with interesting beers and well priced wines,bar,"[1, 2]",positive,201
the bar is very well stocked with interesting beers and well priced wines,beers,"[8, 9]",positive,202
the bar is very well stocked with interesting beers and well priced wines,wines,"[12, 13]",positive,203
when we stumbled on leon we thought that we had found quite the gem but we were certainly wrong,leon,"[4, 5]",negative,204
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet we were told no,waitress,"[1, 2]",negative,205
rude service medicore food there are tons of restaurants in ny stay away from this one,service,"[1, 2]",negative,206
rude service medicore food there are tons of restaurants in ny stay away from this one,food,"[3, 4]",neutral,207
i had a grat time at jekyll and hyde,jekyll and hyde,"[6, 9]",positive,208
i loved everythig about it especially the shows and actors,shows,"[7, 8]",positive,209
i loved everythig about it especially the shows and actors,actors,"[9, 10]",positive,210
our server was very helpful and friendly,server,"[1, 2]",positive,211
the food was good too,food,"[1, 2]",positive,212
the tuna and wasabe potatoes are excellent,tuna,"[1, 2]",positive,213
the tuna and wasabe potatoes are excellent,wasabe potatoes,"[3, 5]",positive,214
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful,outdoor atmosphere,"[1, 3]",positive,215
service was prompt and courteous,service,"[0, 1]",positive,216
great service great food,service,"[1, 2]",positive,217
great service great food,food,"[3, 4]",positive,218
the pizza is delicious they use fresh mozzarella instead of the cheap frozen shredded cheese common to most pizzaria s,pizza,"[1, 2]",positive,219
the pizza is delicious they use fresh mozzarella instead of the cheap frozen shredded cheese common to most pizzaria s,fresh mozzarella,"[6, 8]",positive,220
two complaints their appetizer selection stinks it would be nice to get some mozzarella sticks on the menu,appetizer selection,"[3, 5]",negative,221
wait staff is blantently unappreciative of your business but its the best pie on the uws,wait staff,"[0, 2]",negative,222
wait staff is blantently unappreciative of your business but its the best pie on the uws,pie,"[12, 13]",positive,223
by far the best salad i have had in a fast food restaurant,salad,"[4, 5]",positive,224
fine dining restaurant quality,dining,"[1, 2]",positive,225
on a recent sunday afternoon a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt,restaurant,"[13, 14]",positive,226
the chicken pot pie is excpetiona the cheeseburger huge and delictable and the service professional wan warm,chicken pot pie,"[1, 4]",positive,227
the chicken pot pie is excpetiona the cheeseburger huge and delictable and the service professional wan warm,cheeseburger,"[7, 8]",positive,228
the chicken pot pie is excpetiona the cheeseburger huge and delictable and the service professional wan warm,cheeseburger,"[7, 8]",positive,229
the chicken pot pie is excpetiona the cheeseburger huge and delictable and the service professional wan warm,service,"[13, 14]",positive,230
the staff is no nonsense,staff,"[1, 2]",positive,231
the food options rule,food,"[1, 2]",positive,232
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else,bagels,"[12, 13]",positive,233
worth visiting the 1st ave spot because it is the original store,1st ave spot,"[3, 6]",positive,234
he served me an uni hand roll which i never had before and let me tell you it was heaven,uni hand roll,"[4, 7]",positive,235
the sake menu should not be overlooked,sake menu,"[1, 3]",positive,236
try the lobster teriyaki and the rose special roll,lobster teriyaki,"[2, 4]",positive,237
try the lobster teriyaki and the rose special roll,rose special roll,"[6, 9]",positive,238
service was very good prompt attentive and non intrusive,service,"[0, 1]",positive,239
food was very good as well considering that we tried the budget selection though i wish the pork belly that i ordered was roasted a bit longer so that fat was more of a melt in your mouth experience,food,"[0, 1]",positive,240
food was very good as well considering that we tried the budget selection though i wish the pork belly that i ordered was roasted a bit longer so that fat was more of a melt in your mouth experience,pork belly,"[17, 19]",negative,241
wine list selection is good and wine by the glass was generously filled to the top,wine list selection,"[0, 3]",positive,242
wine list selection is good and wine by the glass was generously filled to the top,wine by the glass,"[6, 10]",positive,243
traditional french decour was pleasant though the hall was rather noisy the restaurant was full and we had to raise our voices to be able to maintain a conversation,traditional french decour,"[0, 3]",positive,244
traditional french decour was pleasant though the hall was rather noisy the restaurant was full and we had to raise our voices to be able to maintain a conversation,hall,"[7, 8]",negative,245
i ve been to at cafe spice probably 5 8 times it is probably still the best indian restaurant around union square,cafe spice,"[5, 7]",positive,246
to sum it up service varies from good to mediorce depending on which waiter you get generally it is just average ok,service,"[4, 5]",neutral,247
seating is always prompt though the restaurant does fill up in the evening,seating,"[0, 1]",positive,248
food is usually very good though ocasionally i wondered about freshmess of raw vegatables in side orders,food,"[0, 1]",positive,249
food is usually very good though ocasionally i wondered about freshmess of raw vegatables in side orders,raw vegatables in side orders,"[12, 17]",negative,250
the decor is vibrant and eye pleasing with several semi private boths on the right side of the dining hall which are great for a date,decor,"[1, 2]",positive,251
the decor is vibrant and eye pleasing with several semi private boths on the right side of the dining hall which are great for a date,semi private boths,"[9, 12]",positive,252
i have never been disappointed in the red eye,red eye,"[7, 9]",positive,253
the first time i went and was completely taken by the live jazz band and atmosphere i ordered the lobster cobb salad,live jazz band,"[11, 14]",positive,254
the first time i went and was completely taken by the live jazz band and atmosphere i ordered the lobster cobb salad,atmosphere,"[15, 16]",positive,255
it s simply the best meal in nyc,meal,"[5, 6]",positive,256
you cannot go wrong at the red eye grill,red eye grill,"[6, 9]",positive,257
if we were to move from the upper east side we would genuinely miss this restaurant,restaurant,"[15, 16]",positive,258
the restaurant is cute but not upscale,restaurant,"[1, 2]",neutral,259
the food is a diamond in rough the food is delicious and homemade with the perfect balance of herbs and tomatoes,food,"[1, 2]",positive,260
the food is a diamond in rough the food is delicious and homemade with the perfect balance of herbs and tomatoes,balance of herbs and tomatoes,"[16, 21]",positive,261
we had a great time at the jekyll and hyde pub last night,jekyll and hyde pub,"[7, 11]",positive,262
after really enjoying ourselves at the bar we sat down at a table and had dinner,bar,"[6, 7]",positive,263
the server was really cool and served us our food and drinks with a smile,server,"[1, 2]",positive,264
the place s decor and hidden bathrooms made for a good laugh,decor,"[3, 4]",positive,265
the place s decor and hidden bathrooms made for a good laugh,hidden bathrooms,"[5, 7]",positive,266
i highly recommend visiting this restaurant and having dinner and drinks,restaurant,"[5, 6]",positive,267
if you are the type of person who likes being scared and entertained this is a great place to go and eat,place,"[17, 18]",positive,268
my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary and to our surprise it was fantastic,jekyll and hyde pub,"[13, 17]",positive,269
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious if i must recommend a dish it must be the pumkin tortelini,beers,"[5, 6]",positive,270
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious if i must recommend a dish it must be the pumkin tortelini,food,"[19, 20]",positive,271
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious if i must recommend a dish it must be the pumkin tortelini,pumkin tortelini,"[32, 34]",positive,272
the entertainment was great they have shows that go on through out the dinner,entertainment,"[1, 2]",positive,273
please take my advice go and try this place,place,"[8, 9]",positive,274
the bagel was huge,bagel,"[1, 2]",positive,275
the workers there also absolutely load the bagel with cream cheese gets a little messy,bagel,"[7, 8]",negative,276
this was my frist time at cafe st bart s and i must say how delicous the food and the service was,food,"[17, 18]",positive,277
this was my frist time at cafe st bart s and i must say how delicous the food and the service was,service,"[20, 21]",positive,278
i have to highly recommend the lobster roll not to much mayo you can tell it was a fresh lobster,lobster roll,"[6, 8]",positive,279
i have to highly recommend the lobster roll not to much mayo you can tell it was a fresh lobster,lobster,"[6, 7]",positive,280
other guests enjoyed pizza santa fe chopped salad and fish and chips,pizza,"[3, 4]",positive,281
other guests enjoyed pizza santa fe chopped salad and fish and chips,santa fe chopped salad,"[4, 8]",positive,282
other guests enjoyed pizza santa fe chopped salad and fish and chips,fish and chips,"[9, 12]",positive,283
i highly recommend cafe st bart s for their food the ambience and wonderful service,food,"[9, 10]",positive,284
i highly recommend cafe st bart s for their food the ambience and wonderful service,ambience,"[11, 12]",positive,285
i highly recommend cafe st bart s for their food the ambience and wonderful service,service,"[14, 15]",positive,286
all the staff is absolutely professional,staff,"[2, 3]",positive,287
this restaurant was way overhyped,restaurant,"[1, 2]",negative,288
my chow fun and chow see was really bland and oily,chow fun and chow see,"[1, 6]",negative,289
the scallion pancakes and fried dumplings were nothing out of the ordinary,scallion pancakes,"[1, 3]",neutral,290
the scallion pancakes and fried dumplings were nothing out of the ordinary,fried dumplings,"[4, 6]",neutral,291
the service was the only thing good about this restaurant,service,"[1, 2]",positive,292
the service was the only thing good about this restaurant,restaurant,"[9, 10]",negative,293
it s boring on the inside and our sushi was pretty below average the tuna was soggy and the other rolls had no flavor,sushi,"[8, 9]",negative,294
it s boring on the inside and our sushi was pretty below average the tuna was soggy and the other rolls had no flavor,tuna,"[14, 15]",negative,295
it s boring on the inside and our sushi was pretty below average the tuna was soggy and the other rolls had no flavor,rolls,"[20, 21]",negative,296
their pad penang is delicious and everything else is fantastic,pad penang,"[1, 3]",positive,297
the price is reasonable although the service is poor,service,"[6, 7]",negative,298
fresh restaurant was amazing food was delicious and of course fresh,fresh restaurant,"[0, 2]",positive,299
fresh restaurant was amazing food was delicious and of course fresh,food,"[4, 5]",positive,300
hats off to the chef,chef,"[4, 5]",positive,301
the salads are delicious both refreshing and very spicy,salads,"[1, 2]",positive,302
we had pam s special fried fish and it was amazing,pam s special fried fish,"[2, 7]",positive,303
great vibe lots of people,vibe,"[1, 2]",positive,304
i didn t complain i liked the atmosphere so much,atmosphere,"[7, 8]",positive,305
ambience is so cute and quaint good for business although we were there on vacation,ambience,"[0, 1]",positive,306
salads were fantastic,salads,"[0, 1]",positive,307
although we were looking for regular lettuce and some walnuts the salads we got were great,salads,"[11, 12]",positive,308
ingredients are organic which is a real plus for me,ingredients,"[0, 1]",positive,309
this is some really good inexpensive sushi,sushi,"[6, 7]",positive,310
this is some really good inexpensive sushi,sushi,"[6, 7]",positive,311
the spicy tuna roll is huge and probably the best that i ve had at this price range,spicy tuna roll,"[1, 4]",positive,312
the spicy tuna roll is huge and probably the best that i ve had at this price range,spicy tuna roll,"[1, 4]",positive,313
the spicy tuna roll is huge and probably the best that i ve had at this price range,spicy tuna roll,"[1, 4]",positive,314
the yellowtail was particularly good as well,yellowtail,"[1, 2]",positive,315
i have reservations about the all you can eat deal however the choices are fairly limited and you can probably order more food than you can eat for less than 18 by just going off the menu,all you can eat deal,"[5, 10]",negative,316
i have reservations about the all you can eat deal however the choices are fairly limited and you can probably order more food than you can eat for less than 18 by just going off the menu,all you can eat deal,"[5, 10]",negative,317
in any event this is a place i ll be sure to stop by again when i m in this part of town,place,"[6, 7]",positive,318
big wong gets big ups for a fine establishment,big wong,"[0, 2]",positive,319
they have it all great price food and service,food,"[6, 7]",positive,320
they have it all great price food and service,service,"[8, 9]",positive,321
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can,atmosphere,"[1, 2]",negative,322
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can,waiters,"[6, 7]",positive,323
and it all comes at a very reasonable price congee noodles and rice dishes are no more than 3 6 each,congee,"[9, 10]",positive,324
and it all comes at a very reasonable price congee noodles and rice dishes are no more than 3 6 each,noodles,"[10, 11]",positive,325
and it all comes at a very reasonable price congee noodles and rice dishes are no more than 3 6 each,rice dishes,"[12, 14]",positive,326
the takeout is great too since they give high quality tupperware as well,takeout,"[1, 2]",positive,327
this place is always very crowded and popular,place,"[1, 2]",positive,328
